test,question1,question2,date
Shops should not be allowed to sell any food or drinks that have been scientifically proven to be bad for people’s health.,To what extent do you agree or disagree?,NULL,Reported on IELTS Cambridge 17
"Nowadays, an increasing number of people with health problems are using alternative medicines and treatments instead of visiting their normal doctor.",Do you think this is a positive or negative development?,NULL,Reported on IELTS Cambridge 17
"Some people believe that professionals, such as doctors and engineers, should be required to work in the country where they did their training. Others believe they should be free to work in another country if they wish.",Discuss views and give your own opinion.,NULL,Reported on IELTS Cambridge 17
"It is important for people to take risks, in both their professional lives and personal lives.",Do the advantages of taking these risks outweigh the disadvantages?,NULL,Reported on IELTS Cambridge 17
Some children spend hours every day on smartphones.,Why is this the case?,Do you think this is a positive or negative development?,Reported in Cambridge IELTS 17
The best way to make the road transport of goods safer is to ask drivers to take a driving test each year.,To what extent do you agree or disagree?,NULL,Reported on IELTS June 20th
More and more young people from wealthy countries are spending time in communities in poorer countries doing unpaid work such as teaching or building houses. ,Why is this?,"Who benefits more from this, the communities or these young people?",Reported on IELTS June 14th
Some people feel that equality between the genders has already been achieved while others feel there is considerable progress to be made.,Discuss both views and give your own opinion.,NULL,Reported on IELTS June 12th
"Prison is the common way most countries try to solve the problem of crime. However, a more effective solution is to provide the public a better education. ",To what extent do you agree or disagree?,NULL,Reported on IETLS June 8th
"In marriages today, some argue that it is the responsibility of both spouses to earn a living for the family. ",To what extent do you agree or disagree?,NULL,Reported on IELTS May 28th
Some people think that the best way to be successful in life is to get a university education. Others disagree and say this is no longer true.,Discuss both views and give your own opinion.,NULL,Reported on IELTS May 25th
"As major cities around the world are growing, so are their problems. ",What are these problems for young people living in cities? ,What are possible solutions for these problems?,Reported on IELTS May 19th
"Many would argue that scientific research requires a degree of oversight from the relevant governmental authorities. In my opinion, properly handled, this is a sensible and necessary policy.",What are the advantages and disadvantages of this?,NULL,Reported on IELTS May 8th
Some people believe that the experiences children have before they go to school will have the greatest effect on their future life. Others argue that experiences gained when they are teenagers have a bigger influence.,Discuss both views and give your own opinions.,NULL,Reported on IELTS May 5th
The shortage of housing in big cities can cause severe consequences. Only government action can solve this problem.,To what extent do you agree or disagree?,NULL,Reported on IELTS April 28th
Many people feel that media coverage has becoming increasingly biased today.,Why is this?,What can be done to fix this problem?,Reported on IELTS April 23rd
Some feel that cities shold be designed to be beautiful while others feel their functionality is more important.,Discuss both sides and give your own opinion.,NULL,Reported on IELTS April 10th
More and more people today are moving away from where their friends and family live. ,Do the advantages of this trend outweigh the disadvantages?,NULL,Reported on IELTS April 7th
Some people say patriotism causes problems and is negative overall. Others feel that it is beneficial for society at large.,Do the advantages of patriotism outweigh its disadvantages?,NULL,Reported on IELTS March 26th
"Educating young people is naturally important. However, some think governments ught to invest more education for adults in need.",To what extent do you agree or disagree?,NULL,Reported on IELTS March 16th
"The best curriculum is not one based on a static body of knowledge, but one which teaches students to cope with change.",To what extent do you agree or disagree?,NULL,Reported on IELTS March 14th
Weddings are getting bigger and more expensive. ,What is the reason for this?,Is it a positive or negative development?,Reported on IELTS March 8th
Some people claim that too much focus and resources have been spent to protect wild animals and birds.,To what extent do you agree or disagree?,NULL,Reported on IELTS March 5th
"In some places, old age is valued, while in other cultures youth is considered more important. ",Discuss both views and give your opinion.,NULL,Reported on IELTS March 3rd
A rise in the standard of living in a country often only seems to benefit cities rather than rural areas. ,What problems can this cause? ,How might these problems be reduced?,Reported on IELTS February 28th
Some believe that nuclear weapons benefit the world at large.,To what extent do you agree or disagree?,NULL,Reported on IELTS February 25th
"Some people think that the government should strictly control the supply of fresh water, as it is a limited resource, while others it should not be regulated. ",Discuss both sides and give your opinion.,NULL,Reported on IELTS February 23rd
Some people believe that engaging in an active pastime does more to develop childrens’ life skills than time spent reading.,To what extent do you agree or disagree?,NULL,Reported on IELTS February 21st
"In some countries, there has been an increase in the number of advertisements which try to persuade children to buy snacks, toys, and other goods. Parents often claim that these ads are unfair.",Discuss both views and give your opinion.,NULL,Reported on IELTS February 16th
Some experts say for road safety cyclists should pass a test before being allowed on public roads. ,To what extent do you agree or disagree?,NULL,Reported on IELTS February 13th
Many supermarkets are selling more and more products that are imported from other countries instead of selling food that is locally sourced.,What are the reasons for this?,Is this a positive or negative development?,Reported on IELTS February 10th
Some people believe that violent media directly results in violent behavior.,To what extent do you agree or disagree?,NULL,Reported on IELTS February 8th
"Today, many young people spend too much of their free time at shopping malls. This can be considered negative for young people and society generally.",To what extent do you agree or disagree with this statement?,NULL,Reported on IELTS February 7th
"Today, TV channels broadcast men’s sports shows more than women’s sport shows.",Why is this the case?,Should TV channels give equal showtime for each?,Reported on IELTS February 4th
"Some people think the main purpose of school is to turn children into good citizens and workers, rather than to benefit them as individuals.",To what extent do you agree or disagree?,NULL,Reported on IELTS February 2nd
"In many countries, children are becoming overweight and unhealthy. Some people think that the government has the responsibility to solve this problem.",To what extent do you agree or disagree?,NULL,Reported on IELTS January 29th
"Some believe that younger family members should be legally responsible for supporting older family members when they become physically, mentally and financially unable to look after themselves.",To what extent do you agree or disagree?,NULL,Reported on IELTS January 26t
"In the 20th century, contact between many different parts of the world has developed apidly through air travel and telecommunications.",Do the advantages of this outweigh the disadvantages?,NULL,Reported on IELTS January 24th
"Many people argue that in order to improve educational quality, high school students should be encouraged to question and offer criticisms on their teachers. Others think this will lead to a loss of respect and discipline in the classroom. ",Discuss both views and give your own opinion.,NULL,Reported on IELTS January 23rd
"The governments should give each citizen a basic income so that they have enough money to live on, even if they are unemployed. ",To what extent do you agree or disagree?,NULL,Reported on IELTS January 17th
"Many doctors recommend that older people exercise regularly, but most patients do not follow an exercise routine. ",Why do you think this happens? ,How can people be encouraged to exercise regularly?,Reported on IELTS January 15th
Some people think that enjoying the present is more important than planning for the future for both countries and individuals. ,To what extent do you agree or disagree?,NULL,Reported on IELTS January 12th
"Some people prefer to spend their lives doing the same things and avoiding change. Others, however, think that change is always good.",Discuss both these views and give your own opinion.,NULL,Reported on IELTS January 10th
Today family members eat fewer meals together.,Why is this?,Is this a positive or negative trend?,Reported on IELTS January 4th
Some people believe that everyone has a right to have access to university education and that governments should make it free for all students no matter what financial background they have. ,To what extent do you agree or disagree?,NULL,Reported on IELTS December 31st
Many people today do not feel safe either at home or when they are out.,What are the causes?,What are the solutions?,Reported on IELTS December 22nd
"Information technology is changing many aspects of our lives and now dominates our home, leisure and work activities.",To what extent do the benefits of information technology outweigh the disadvantages?,NULL,Reported on IELTS December 19th
Some think increasing business and cultural contact between nations is positive. Others think it leads to the disappearance of the national identity.,Discuss both views and state your own opinion.,NULL,Reported on IELTS December 15th
"Some people think that schools should select students according to their academic abilities, while others believe that it is better to have students with different abilities studying together. ",Discuss both views and state your own opinion.,NULL,Reported on IELTS December 8th
